date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:50:20	504/504	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2253a7243150bf05759b81a208b87d3dc5%22	https://discord.com/assets/53a7243150bf05759b81a208b87d3dc5.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/53a7243150bf05759b81a208b87d3dc5.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:20	435/435	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22887423e438a9b6dcb31a73d597c11a84%22	https://discord.com/assets/887423e438a9b6dcb31a73d597c11a84.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/887423e438a9b6dcb31a73d597c11a84.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:20	1086/1086	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d3bb5f3e5859cc8735a9d87121efb72a%22	https://discord.com/assets/d3bb5f3e5859cc8735a9d87121efb72a.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/d3bb5f3e5859cc8735a9d87121efb72a.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:21	26541/26541	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2248c9711c9fabbd43182bcaf602201b48%22	https://discord.com/assets/48c9711c9fabbd43182bcaf602201b48.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/48c9711c9fabbd43182bcaf602201b48.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:21	2632/2632	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220a14344c0e0bfe3a52aa245ecaaebca7%22	https://discord.com/assets/0a14344c0e0bfe3a52aa245ecaaebca7.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/0a14344c0e0bfe3a52aa245ecaaebca7.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:21	16641/16641	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22809b55fb8506efded716cfe138cc792f%22	https://discord.com/assets/809b55fb8506efded716cfe138cc792f.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/809b55fb8506efded716cfe138cc792f.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:21	10122/10122	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228510ff4ea69220cd228e285469a6b236%22	https://discord.com/assets/8510ff4ea69220cd228e285469a6b236.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/8510ff4ea69220cd228e285469a6b236.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:22	46644/46644	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224d8c26b9b004da398fb8940d194e3aaa%22	https://discord.com/assets/4d8c26b9b004da398fb8940d194e3aaa.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/4d8c26b9b004da398fb8940d194e3aaa.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:22	2274/2274	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229f65387c814dd4cb5aff4e4e1e7e0446%22	https://discord.com/assets/9f65387c814dd4cb5aff4e4e1e7e0446.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/9f65387c814dd4cb5aff4e4e1e7e0446.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
04:50:22	3542/3542	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a64239d24af91a983ec1fd43fdadb323%22	https://discord.com/assets/a64239d24af91a983ec1fd43fdadb323.svg	C:/webpages/Discord%20Web%20Page/discord.com/assets/a64239d24af91a983ec1fd43fdadb323.svg	(from https://discord.com/assets/40532.283dea0ae27a51c07073.css)
